Experiment Began: Experiment Ended: 16:11:22

Total Trials = 120
Input Trial Order File: AudioVisCircMotionRatchet_jitter_TrialOrderList1.txt
Sound File: 10ms_whiteNoiseBurst.wav
Visual Movement Timing: 250 msec
Adaptor Time: 10 sec
ISI: 150 msec
ITI: 1 sec

Trial Rotation Sound RT ElapsedTime
001 clockwise 2 3.116703 13.299411
002 clockwise 1 4.700946 29.183523
003 clockwise 5 1.549816 41.917178
004 clockwise 2 1.916719 55.017650
005 clockwise 3 2.083346 68.284908
006 clockwise 3 5.117444 84.569471
007 clockwise 4 4.133807 99.886532
008 clockwise 1 5.550878 116.604138
009 clockwise 5 2.200451 129.987921
010 clockwise 1 3.053297 144.224889
011 clockwise 1 3.849346 172.106494
012 clockwise 4 9.867060 193.156865
013 clockwise 5 4.350083 208.673628
014 clockwise 4 3.733449 223.590824
015 clockwise 2 3.916540 238.674516
016 clockwise 4 4.767311 254.625930
017 clockwise 4 2.516743 268.326749
018 clockwise 3 5.600343 285.093949
019 clockwise 5 2.100416 298.361491
020 clockwise 4 7.436914 316.965160
021 clockwise 1 3.316325 350.730493
022 clockwise 2 2.066670 363.963290
023 clockwise 3 2.133328 377.262748
024 clockwise 5 0.467039 388.913456
025 clockwise 2 2.316796 402.413677
026 clockwise 3 2.166712 415.764140
027 clockwise 1 2.633576 429.581386
028 clockwise 3 3.966944 444.731900
029 clockwise 5 2.700244 458.615405
030 clockwise 2 2.000034 471.799258
031 clockwise 4 3.200578 494.600573
032 clockwise 4 6.950603 512.737752
033 clockwise 2 5.132242 529.037249
034 clockwise 1 6.499031 546.719169
035 clockwise 3 3.200390 561.102667
036 clockwise 5 6.133813 578.403193
037 clockwise 4 4.633412 594.220447
038 clockwise 4 4.067126 609.471092
039 clockwise 3 9.333765 629.988204
040 clockwise 3 15.101602 656.256630
041 clockwise 5 3.667114 684.057834
042 clockwise 1 2.849977 698.094343
043 clockwise 1 2.032805 711.310684
044 clockwise 2 2.415968 724.910124
045 clockwise 5 4.866602 740.959530
046 clockwise 1 1.583627 753.726383
047 clockwise 5 1.983511 766.876864
048 clockwise 3 3.167590 781.228170
049 clockwise 3 1.733214 794.145141
050 clockwise 2 3.166829 808.478955
051 clockwise 4 2.650281 838.580051
052 clockwise 1 1.567810 851.331383
053 clockwise 2 4.553212 867.067987
054 clockwise 2 2.866995 881.118757
055 clockwise 5 2.132787 894.433836
056 clockwise 2 6.916594 912.533612
057 clockwise 4 4.466451 928.183724
058 clockwise 1 3.267659 942.618452
059 clockwise 3 2.650171 956.451998
060 clockwise 5 2.033744 969.669439
061 clockwise 2 3.116792 994.536408
062 clockwise 2 1.700269 1007.420405
063 clockwise 3 1.783689 1020.387559
064 clockwise 4 2.067143 1033.621675
065 clockwise 5 1.519740 1046.325172
066 clockwise 3 3.133869 1060.641922
067 clockwise 5 3.316202 1075.140796
068 clockwise 1 1.599780 1087.907064
069 clockwise 3 2.667197 1101.756792
070 clockwise 4 4.100225 1117.040465
071 clockwise 2 2.450231 1142.474677
072 clockwise 2 1.683493 1155.341433
073 clockwise 4 3.533818 1170.058685
074 clockwise 1 1.983655 1183.226073
075 clockwise 4 3.583560 1197.993091
076 clockwise 1 2.833992 1212.010872
077 clockwise 4 3.133846 1226.327698
078 clockwise 3 3.152915 1240.664115
079 clockwise 1 3.967081 1255.814693
080 clockwise 5 2.316807 1269.297419
081 clockwise 1 2.433608 1300.879551
082 clockwise 5 2.883555 1314.946445
083 clockwise 2 1.500243 1327.630396
084 clockwise 3 2.733472 1341.530653
085 clockwise 2 3.400538 1356.114695
086 clockwise 1 2.383554 1369.681793
087 clockwise 4 11.700957 1392.566241
088 clockwise 5 1.717004 1405.467035
089 clockwise 3 1.499596 1418.150394
090 clockwise 5 2.269535 1431.603641
091 clockwise 3 2.516122 1465.519394
092 clockwise 5 2.932545 1479.635493
093 clockwise 2 1.716693 1492.518577
094 clockwise 3 4.599923 1508.301769
095 clockwise 4 1.633255 1521.118705
096 clockwise 2 2.149999 1534.435903
097 clockwise 3 1.900255 1547.519735
098 clockwise 5 6.250006 1564.936749
099 clockwise 5 1.783171 1577.903932
100 clockwise 2 1.567109 1590.638071
101 clockwise 4 2.233435 1616.921807
102 clockwise 3 1.750436 1629.855946
103 clockwise 4 3.919343 1644.942085
104 clockwise 5 4.483133 1660.608901
105 clockwise 1 2.566991 1674.358730
106 clockwise 2 2.617044 1688.157550
107 clockwise 5 1.750463 1701.091435
108 clockwise 2 2.216643 1714.491627
109 clockwise 3 2.133610 1727.809040
110 clockwise 5 4.450333 1743.426204
111 clockwise 4 1.666635 1767.709503
112 clockwise 4 1.733802 1780.610445
113 clockwise 1 5.134223 1796.911038
114 clockwise 4 1.883748 1809.978250
115 clockwise 1 1.934125 1823.078625
116 clockwise 1 6.120117 1840.381923
117 clockwise 2 2.866521 1854.432128
118 clockwise 3 1.717016 1867.331210
119 clockwise 1 1.834061 1880.330456
120 clockwise 1 1.766994 1893.280295
