Experiment Began: Experiment Ended: 10:24:17

Total Trials = 120
Input Trial Order File: AudioVisCircMotionRatchet_TrialOrderList7.txt
In Phase Sound File: 10s_whiteNoiseBursts_In_Phase_200.wav
Out Phase Sound File: 10s_whiteNoiseBursts_Out_Phase_200.wav
Visual Movement Timing: 200 msec
Adaptor Time: 10 sec
ISI: 150 msec
ITI: 1 sec

Trial Rotation Sound RT ElapsedTime
001 clockwise 3 2.533685 12.717187
002 clockwise 3 2.517222 26.418158
003 clockwise 1 1.984037 39.585686
004 clockwise 2 1.250295 52.019293
005 clockwise 3 2.216637 65.419226
006 clockwise 3 1.583803 78.186755
007 clockwise 1 2.433971 91.805862
008 clockwise 2 1.600114 104.588979
009 clockwise 2 1.400040 117.171664
010 clockwise 1 2.500046 130.855602
011 clockwise 3 1.716574 146.972836
012 clockwise 2 2.333736 160.473581
013 clockwise 1 1.116618 172.757206
014 clockwise 1 1.400285 185.324567
015 clockwise 2 2.133908 198.642108
016 clockwise 3 1.550448 211.376230
017 clockwise 3 2.149983 224.709741
018 clockwise 1 1.917155 237.810729
019 clockwise 2 1.433258 250.410696
020 clockwise 1 2.016786 263.612709
021 clockwise 1 1.933357 277.378940
022 clockwise 2 2.450230 290.995161
023 clockwise 1 2.866932 305.028806
024 clockwise 3 2.816595 319.012091
025 clockwise 3 2.883273 333.079357
026 clockwise 1 2.100397 346.330043
027 clockwise 2 2.133385 359.630121
028 clockwise 2 2.617039 373.431054
029 clockwise 3 0.283850 384.898071
030 clockwise 2 3.166751 399.248242
031 clockwise 3 2.366538 413.549025
032 clockwise 1 2.916815 427.649554
033 clockwise 3 3.184864 442.018167
034 clockwise 3 2.933134 456.135294
035 clockwise 1 3.100016 470.418158
036 clockwise 2 2.383396 483.985022
037 clockwise 2 2.133597 497.302158
038 clockwise 1 2.616632 511.102332
039 clockwise 1 2.666590 524.952817
040 clockwise 2 1.716550 537.853176
041 clockwise 3 2.433766 552.637562
042 clockwise 3 3.716980 567.538012
043 clockwise 2 2.883521 581.588785
044 clockwise 3 3.650652 596.423008
045 clockwise 3 3.151710 610.758239
046 clockwise 2 2.666692 624.608670
047 clockwise 1 2.316203 638.107793
048 clockwise 2 2.083604 651.374438
049 clockwise 1 2.133286 664.691149
050 clockwise 3 2.467067 678.325816
051 clockwise 3 2.033856 692.910128
052 clockwise 1 1.966914 706.060248
053 clockwise 1 1.933399 719.160630
054 clockwise 2 2.384054 732.728358
055 clockwise 1 1.884749 745.779606
056 clockwise 2 2.500450 759.463801
057 clockwise 3 2.666624 773.313923
058 clockwise 2 2.416917 786.916551
059 clockwise 1 2.050155 800.132498
060 clockwise 2 2.883608 814.198626
061 clockwise 1 2.599961 829.582120
062 clockwise 2 2.083315 842.849364
063 clockwise 1 2.683744 856.717098
064 clockwise 1 2.633789 870.534378
065 clockwise 3 3.750113 885.468190
066 clockwise 2 2.833597 899.485467
067 clockwise 3 3.917400 914.586336
068 clockwise 3 2.966961 928.736882
069 clockwise 2 2.900036 942.820738
070 clockwise 3 6.066465 960.072844
071 clockwise 1 2.216535 974.355656
072 clockwise 3 2.417167 987.956412
073 clockwise 2 2.483445 1001.623532
074 clockwise 1 2.766186 1015.573739
075 clockwise 3 3.416988 1030.174639
076 clockwise 3 3.200011 1044.558092
077 clockwise 1 2.567096 1058.308952
078 clockwise 2 2.950229 1072.442561
079 clockwise 1 2.800472 1086.426651
080 clockwise 2 2.233706 1099.843868
081 clockwise 2 3.585739 1117.163515
082 clockwise 3 6.216816 1134.563206
083 clockwise 1 3.183365 1148.912304
084 clockwise 2 2.233677 1162.329497
085 clockwise 1 2.616647 1176.113197
086 clockwise 2 2.200505 1189.480968
087 clockwise 2 2.883503 1203.531350
088 clockwise 3 3.517338 1218.216053
089 clockwise 3 2.416705 1231.816055
090 clockwise 1 2.766710 1245.749874
091 clockwise 3 3.767092 1261.600838
092 clockwise 1 1.966810 1274.750920
093 clockwise 1 2.718339 1288.653151
094 clockwise 3 1.433466 1301.269984
095 clockwise 1 1.717015 1314.169754
096 clockwise 2 2.350072 1327.685742
097 clockwise 3 2.783419 1341.652515
098 clockwise 2 2.349907 1355.186285
099 clockwise 1 2.666694 1369.036784
100 clockwise 2 3.483828 1383.721038
101 clockwise 2 2.233925 1398.105479
102 clockwise 3 2.500331 1411.789428
103 clockwise 3 3.017024 1425.989888
104 clockwise 1 2.717140 1439.890774
105 clockwise 1 2.150214 1453.208108
106 clockwise 2 1.650012 1466.026778
107 clockwise 2 2.150516 1479.326674
108 clockwise 3 2.499830 1492.976280
109 clockwise 1 1.749988 1505.876873
110 clockwise 3 5.683560 1522.727478
111 clockwise 2 1.967006 1536.560990
112 clockwise 2 1.134368 1548.862036
113 clockwise 3 1.666673 1561.695345
114 clockwise 1 1.849893 1574.728780
115 clockwise 2 2.133531 1588.013012
116 clockwise 1 2.500307 1601.680268
117 clockwise 3 2.117145 1614.947410
118 clockwise 2 1.866847 1627.997691
119 clockwise 3 1.650247 1640.816552
120 clockwise 1 2.016791 1653.999999
