Experiment Began: Experiment Ended: 12:27:42

Total Trials = 120
Input Trial Order File: AudioVisCircMotionRatchet_TrialOrderList2.txt
In Phase Sound File: 10s_whiteNoiseBursts_In_Phase_250.wav
Out Phase Sound File: 10s_whiteNoiseBursts_Out_Phase_250.wav
Visual Movement Timing: 250 msec
Adaptor Time: 10 sec
ISI: 150 msec
ITI: 1 sec

Trial Rotation Sound RT ElapsedTime
001 counterClockwise 2 6.234245 16.434266
002 counterClockwise 1 4.833859 32.453418
003 counterClockwise 2 3.316736 46.936382
004 counterClockwise 1 2.517056 60.636444
005 counterClockwise 2 2.866952 74.686151
006 counterClockwise 3 2.600099 88.469705
007 counterClockwise 3 2.783585 102.420649
008 counterClockwise 2 2.234044 115.838366
009 counterClockwise 3 2.750462 129.772120
010 counterClockwise 1 2.417411 143.356307
011 counterClockwise 2 2.366749 168.256614
012 counterClockwise 1 2.433899 181.874148
013 counterClockwise 2 2.434264 195.491694
014 counterClockwise 1 2.766650 209.441975
015 counterClockwise 2 2.884033 223.543068
016 counterClockwise 1 2.900170 237.627246
017 counterClockwise 3 2.083256 250.895928
018 counterClockwise 1 2.683256 264.762582
019 counterClockwise 3 3.233506 279.162530
020 counterClockwise 3 2.866674 293.212009
021 counterClockwise 1 2.950026 313.495641
022 counterClockwise 3 4.900236 329.579461
023 counterClockwise 1 2.167250 342.913946
024 counterClockwise 3 2.100103 356.197801
025 counterClockwise 2 2.917540 370.299370
026 counterClockwise 2 2.484187 383.966920
027 counterClockwise 3 2.783719 397.934128
028 counterClockwise 2 2.450210 411.551826
029 counterClockwise 1 6.600834 429.336675
030 counterClockwise 3 3.952575 444.472809
031 counterClockwise 2 3.183522 472.456605
032 counterClockwise 3 4.366614 488.006078
033 counterClockwise 1 3.317051 502.506469
034 counterClockwise 2 2.933704 516.606648
035 counterClockwise 1 3.149799 530.924045
036 counterClockwise 2 4.300367 546.408096
037 counterClockwise 1 2.916904 560.508631
038 counterClockwise 3 3.000218 574.692615
039 counterClockwise 3 3.783477 589.659628
040 counterClockwise 2 3.067160 603.893829
041 counterClockwise 2 2.233497 639.844971
042 counterClockwise 3 2.900450 653.929081
043 counterClockwise 2 3.134271 668.247194
044 counterClockwise 2 3.466924 682.882635
045 counterClockwise 1 3.483589 697.549558
046 counterClockwise 3 3.300031 712.032415
047 counterClockwise 1 2.616782 725.832162
048 counterClockwise 2 3.467609 740.466561
049 counterClockwise 1 4.516888 756.150352
050 counterClockwise 3 3.166845 770.484839
051 counterClockwise 3 3.350013 796.035661
052 counterClockwise 1 2.850037 810.069507
053 counterClockwise 3 2.917361 824.170535
054 counterClockwise 1 3.417458 838.771370
055 counterClockwise 3 3.200098 853.138853
056 counterClockwise 1 2.750141 867.056351
057 counterClockwise 2 3.800553 882.040611
058 counterClockwise 1 3.001921 896.225868
059 counterClockwise 2 3.099997 910.493051
060 counterClockwise 3 3.749713 925.409110
061 counterClockwise 3 2.266532 962.358778
062 counterClockwise 2 2.950134 976.492832
063 counterClockwise 3 2.700616 990.377573
064 counterClockwise 2 1.966684 1003.527809
065 counterClockwise 2 3.467084 1018.178813
066 counterClockwise 1 2.366906 1031.729360
067 counterClockwise 3 3.467191 1046.363585
068 counterClockwise 1 3.383602 1060.930801
069 counterClockwise 3 3.183871 1075.298470
070 counterClockwise 2 2.500122 1088.982254
071 counterClockwise 3 2.683381 1118.616538
072 counterClockwise 1 2.650597 1132.452440
073 counterClockwise 2 2.332940 1145.968712
074 counterClockwise 1 1.949929 1159.101818
075 counterClockwise 3 2.834042 1173.119030
076 counterClockwise 1 3.100420 1187.402337
077 counterClockwise 1 3.333304 1201.919455
078 counterClockwise 3 2.817080 1215.920196
079 counterClockwise 1 3.383845 1230.487771
080 counterClockwise 2 4.450160 1246.104632
081 counterClockwise 1 2.217168 1274.472259
082 counterClockwise 2 2.600455 1288.256237
083 counterClockwise 1 2.467446 1301.907141
084 counterClockwise 3 2.750419 1315.841162
085 counterClockwise 2 2.517201 1329.525636
086 counterClockwise 2 3.802391 1344.495306
087 counterClockwise 3 1.766874 1357.445405
088 counterClockwise 1 2.866214 1371.495033
089 counterClockwise 2 3.149758 1385.828010
090 counterClockwise 3 3.383723 1400.395358
091 counterClockwise 2 2.950141 1424.429093
092 counterClockwise 1 2.149488 1437.763108
093 counterClockwise 1 3.133839 1452.080883
094 counterClockwise 3 3.650208 1466.914651
095 counterClockwise 1 2.966651 1481.064921
096 counterClockwise 3 1.133336 1493.382447
097 counterClockwise 3 3.050244 1507.599556
098 counterClockwise 2 3.750377 1522.516935
099 counterClockwise 2 3.350172 1537.050901
100 counterClockwise 3 3.450165 1551.685018
101 counterClockwise 3 2.601985 1579.871390
102 counterClockwise 1 2.249821 1593.304835
103 counterClockwise 3 2.600076 1607.071365
104 counterClockwise 2 2.349794 1620.587454
105 counterClockwise 1 3.767643 1635.538538
106 counterClockwise 2 3.650346 1650.372554
107 counterClockwise 1 2.601543 1664.141092
108 counterClockwise 3 4.100531 1679.425139
109 counterClockwise 1 2.949972 1693.541822
110 counterClockwise 3 2.066810 1706.792806
111 counterClockwise 3 2.567049 1732.993666
112 counterClockwise 1 2.750494 1746.927551
113 counterClockwise 2 2.450148 1760.544652
114 counterClockwise 2 3.800296 1775.528712
115 counterClockwise 3 2.402345 1789.114892
116 counterClockwise 1 2.849953 1803.148382
117 counterClockwise 2 1.983132 1816.314734
118 counterClockwise 2 2.750013 1830.231226
119 counterClockwise 1 3.483779 1844.898430
120 counterClockwise 2 3.833651 1859.915884
