Experiment Began: Experiment Ended: 12:15:19

Total Trials = 120
Input Trial Order File: AudioVisCircMotionRatchet_jitter_TrialOrderList6.txt
Sound File: 10ms_whiteNoiseBurst.wav
Visual Movement Timing: 250 msec
Adaptor Time: 10 sec
ISI: 150 msec
ITI: 1 sec

Trial Rotation Sound RT ElapsedTime
001 counterClockwise 3 6.617472 16.784508
002 counterClockwise 2 3.767077 31.701709
003 counterClockwise 3 4.050169 46.902484
004 counterClockwise 4 4.217158 62.270304
005 counterClockwise 3 3.566445 76.987283
006 counterClockwise 1 4.682967 92.823355
007 counterClockwise 5 2.450152 106.423168
008 counterClockwise 5 3.416964 121.024125
009 counterClockwise 2 3.216830 135.424525
010 counterClockwise 1 3.650299 150.258893
011 counterClockwise 1 4.717289 191.477144
012 counterClockwise 3 4.801007 207.461939
013 counterClockwise 1 2.986332 221.631687
014 counterClockwise 2 2.550116 235.364750
015 counterClockwise 3 4.983074 251.530494
016 counterClockwise 2 6.483600 269.196802
017 counterClockwise 4 5.450605 285.814355
018 counterClockwise 5 5.250449 302.231831
019 counterClockwise 1 6.817247 320.232573
020 counterClockwise 2 6.001226 337.417334
021 counterClockwise 4 5.734276 355.985268
022 counterClockwise 4 11.566599 378.738235
023 counterClockwise 5 11.599500 401.520758
024 counterClockwise 5 5.266953 417.954707
025 counterClockwise 3 7.200702 436.322632
026 counterClockwise 2 8.950787 456.457210
027 counterClockwise 5 11.751080 479.391755
028 counterClockwise 4 19.203737 509.762862
029 counterClockwise 4 7.499137 528.445104
030 counterClockwise 1 13.783420 553.394782
031 counterClockwise 2 13.617264 595.646784
032 counterClockwise 3 11.417963 618.248772
033 counterClockwise 4 9.317654 638.733648
034 counterClockwise 2 11.283402 661.203202
035 counterClockwise 2 6.065725 678.451687
036 counterClockwise 3 3.850576 693.469362
037 counterClockwise 1 7.483816 712.136794
038 counterClockwise 4 9.034032 732.354695
039 counterClockwise 1 14.052221 757.590721
040 counterClockwise 4 10.953600 779.711466
041 counterClockwise 4 8.666875 835.176787
042 counterClockwise 3 8.117290 854.461402
043 counterClockwise 3 5.033390 870.678657
044 counterClockwise 1 6.917683 888.780404
045 counterClockwise 5 7.717597 907.681280
046 counterClockwise 2 7.219766 926.084865
047 counterClockwise 1 8.632696 945.901034
048 counterClockwise 5 10.467075 967.550915
049 counterClockwise 2 8.533832 987.268880
050 counterClockwise 5 5.983836 1004.436351
051 counterClockwise 3 4.300542 1044.970912
052 counterClockwise 3 4.866996 1061.021732
053 counterClockwise 4 9.586631 1081.775429
054 counterClockwise 5 6.249590 1099.191037
055 counterClockwise 2 3.766740 1114.140415
056 counterClockwise 1 5.083493 1130.407523
057 counterClockwise 1 3.917412 1145.508857
058 counterClockwise 5 8.416869 1165.109408
059 counterClockwise 4 6.250467 1182.544156
060 counterClockwise 5 8.517275 1202.244887
061 counterClockwise 5 6.602590 1227.398477
062 counterClockwise 4 4.532848 1243.114916
063 counterClockwise 3 4.366454 1258.647301
064 counterClockwise 5 4.317494 1274.148176
065 counterClockwise 5 5.517189 1290.849348
066 counterClockwise 3 3.866983 1305.900138
067 counterClockwise 4 3.399818 1320.467342
068 counterClockwise 1 6.617077 1338.268789
069 counterClockwise 1 4.000349 1353.453065
070 counterClockwise 5 5.917181 1370.540000
071 counterClockwise 1 4.016821 1435.972504
072 counterClockwise 3 3.350532 1450.506906
073 counterClockwise 5 3.400303 1465.073996
074 counterClockwise 2 3.733676 1479.991730
075 counterClockwise 1 3.133422 1494.308764
076 counterClockwise 3 3.983564 1509.459565
077 counterClockwise 3 5.883333 1526.529278
078 counterClockwise 1 4.083031 1541.795079
079 counterClockwise 2 2.949966 1555.927987
080 counterClockwise 2 4.633398 1571.728482
081 counterClockwise 4 3.683390 1599.362970
082 counterClockwise 2 4.550309 1615.096621
083 counterClockwise 4 2.800161 1629.080643
084 counterClockwise 4 2.633426 1642.898066
085 counterClockwise 2 3.867321 1657.949332
086 counterClockwise 5 4.017215 1673.136046
087 counterClockwise 3 3.132387 1687.451698
088 counterClockwise 1 2.765846 1701.384165
089 counterClockwise 4 4.717119 1717.284604
090 counterClockwise 2 3.850254 1732.318930
091 counterClockwise 4 4.650426 1756.319319
092 counterClockwise 1 4.700032 1772.186089
093 counterClockwise 3 4.684164 1788.037253
094 counterClockwise 5 4.833873 1804.038091
095 counterClockwise 1 5.433872 1820.638767
096 counterClockwise 4 3.016718 1834.825266
097 counterClockwise 5 4.283289 1850.274950
098 counterClockwise 3 3.650107 1865.074254
099 counterClockwise 2 4.167003 1880.424506
100 counterClockwise 2 3.550199 1895.141587
101 counterClockwise 3 4.783833 1912.659311
102 counterClockwise 2 5.317409 1929.143648
103 counterClockwise 4 5.483921 1945.810708
104 counterClockwise 1 2.567055 1959.545011
105 counterClockwise 1 4.003629 1974.732373
106 counterClockwise 4 3.016188 1988.931727
107 counterClockwise 5 3.449885 2003.564709
108 counterClockwise 2 3.716865 2018.464110
109 counterClockwise 4 4.217331 2033.864980
110 counterClockwise 5 4.550908 2049.582338
111 counterClockwise 2 2.733358 2064.849211
112 counterClockwise 3 6.134228 2082.167116
113 counterClockwise 1 3.017335 2096.368032
114 counterClockwise 2 5.050357 2112.585472
115 counterClockwise 1 6.586529 2130.355751
116 counterClockwise 3 5.216369 2146.754597
117 counterClockwise 4 4.249355 2162.187071
118 counterClockwise 5 3.300158 2176.670748
119 counterClockwise 3 5.017116 2192.854823
120 counterClockwise 5 4.416633 2208.455495
